"product_name","list_price","total_orders"
Electra Cruiser 1 (24-Inch) - 2016,269.99,193
Electra Townie Original 21D - 2016,549.99,193
Electra Townie Original 7D EQ - 2016,599.99,185
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,180
Surly Ice Cream Truck Frameset - 2016,469.99,110
Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,100
Electra Townie Original 7D - 2015/2016,499.99,98
Electra Moto 1 - 2016,529.99,91
Pure Cycles Vine 8-Speed - 2016,429.0,91
Pure Cycles Western 3-Speed - Women's - 2015/2016,449.0,89
Surly Wednesday Frameset - 2016,999.99,86
Electra Townie Original 7D EQ - Women's - 2016,599.99,84
Pure Cycles William 3-Speed - 2016,449.0,78
Ritchey Timberwolf Frameset - 2016,749.99,77
"Electra Girl's Hawaii 1 16"" - 2017",299.99,49
Sun Bicycles Cruz 3 - 2017,449.99,46
Electra Townie Original 7D - 2017,489.99,45
Sun Bicycles Lil Bolt Type-R - 2017,346.99,35
Sun Bicycles Cruz 7 - 2017,416.99,34
Haro SR 1.2 - 2017,869.99,32
Surly Troll Frameset - 2017,832.99,29
Trek Precaliber 24 (21-Speed) - Girls - 2017,349.99,28
Electra Townie 3i EQ (20-inch) - Boys' - 2017,489.99,28
Sun Bicycles Streamway 3 - 2017,551.99,28
Sun Bicycles Biscayne Tandem CB - 2017,647.99,27
Electra Townie 7D (20-inch) - Boys' - 2017,339.99,26
Surly Steamroller - 2017,875.99,26
Haro Shredder 20 - 2017,209.99,26
Sun Bicycles Atlas X-Type - 2017,416.99,26
Sun Bicycles Streamway 7 - 2017,533.99,25
Haro Shredder 20 Girls - 2017,209.99,25
Sun Bicycles Revolutions 24 - 2017,250.99,24
Trek X-Caliber 8 - 2017,999.99,24
Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,299.99,24
Electra Amsterdam Original 3i Ladies' - 2017,659.99,23
Trek Precaliber 12 Girls - 2017,189.99,23
Surly Ice Cream Truck Frameset - 2017,999.99,22
Sun Bicycles Biscayne Tandem 7 - 2017,619.99,22
Electra Amsterdam Original 3i - 2015/2017,659.99,22
Surly Wednesday Frameset - 2017,469.99,22
Electra Savannah 3i (20-inch) - Girl's - 2017,349.99,22
Trek Farley Alloy Frameset - 2017,469.99,22
Surly Big Dummy Frameset - 2017,999.99,21
Sun Bicycles Cruz 3 - Women's - 2017,449.99,21
Haro Downtown 16 - 2017,329.99,21
Electra Glam Punk 3i Ladies' - 2017,799.99,21
Haro Flightline One ST - 2017,379.99,20
Electra Moto 3i (20-inch) - Boy's - 2017,349.99,20
Sun Bicycles Streamway - 2017,481.99,20
Sun Bicycles Cruz 7 - Women's - 2017,416.99,20
Sun Bicycles Brickell Tandem 7 - 2017,749.99,20
Haro Shredder Pro 20 - 2017,249.99,19
Trek Precaliber 12 Boys - 2017,189.99,19
Electra Cruiser Lux 1 - 2017,439.99,19
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,599.99,18
Sun Bicycles Drifter 7 - Women's - 2017,470.99,18
Trek Precaliber 16 Boys - 2017,209.99,18
Trek Precaliber 16 Girls - 2017,209.99,18
Haro Flightline Two 26 Plus - 2017,549.99,18
Sun Bicycles Spider 3i - 2017,832.99,17
Surly Ogre Frameset - 2017,749.99,17
Sun Bicycles Revolutions 24 - Girl's - 2017,250.99,16
Sun Bicycles Lil Kitt'n - 2017,109.99,16
Sun Bicycles Drifter 7 - 2017,470.99,16
Haro SR 1.1 - 2017,539.99,16
Sun Bicycles Boardwalk (24-inch Wheels) - 2017,402.99,16
Trek Boy's Kickster - 2015/2017,149.99,15
Trek Girl's Kickster - 2017,149.99,15
Sun Bicycles Brickell Tandem CB - 2017,761.99,14
Electra Straight 8 3i (20-inch) - Boy's - 2017,489.99,12
Trek Session DH 27.5 Carbon Frameset - 2017,469.99,11
Electra Townie Balloon 3i EQ Ladies' - 2018,799.99,10
Electra Townie Original 21D EQ - 2017/2018,679.99,9
Strider Classic 12 Balance Bike - 2018,89.99,7
Electra Townie Balloon 7i EQ Ladies' - 2017/2018,899.99,6
Electra Townie Balloon 7i EQ - 2018,899.99,6
Trek Farley Carbon Frameset - 2018,999.99,6
"Electra Treasure 1 20"" - 2018",319.99,6
Electra Koa 3i Ladies' - 2018,899.99,6
Electra Townie Commute 8D Ladies' - 2018,699.99,6
Strider Strider 20 Sport - 2018,289.99,6
Trek Marlin 5 - 2018,489.99,6
Electra Townie Commute 27D Ladies - 2018,899.99,6
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,319.99,6
Electra Cruiser Lux 1 Ladies' - 2018,429.99,6
Trek Domane AL 3 Women's - 2018,919.99,5
Electra Townie Balloon 8D EQ - 2016/2017/2018,749.99,5
Electra Townie Original 7D EQ Ladies' - 2017/2018,599.99,5
Electra Townie Original 21D EQ Ladies' - 2018,679.99,5
Trek Kickster - 2018,159.99,5
Surly Big Fat Dummy Frameset - 2018,469.99,5
"Electra Under-The-Sea 1 16"" - 2018",279.99,5
Electra Townie Balloon 3i EQ - 2017/2018,749.99,5
Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,279.99,5
Trek Precaliber 16 Girl's - 2018,209.99,5
Electra Tiger Shark 3i - 2018,899.99,4
Trek Domane AL 2 Women's - 2018,749.99,4
Electra Cruiser Lux 3i - 2018,529.99,4
Electra Cruiser 1 Ladies' - 2018,269.99,4
Electra White Water 3i - 2018,749.99,4
Electra Daydreamer 3i Ladies' - 2018,899.99,4
Electra Townie Original 1 - 2018,449.99,4
Trek Stache Carbon Frameset - 2018,919.99,4
Electra Townie Commute 8D - 2018,749.99,4
Trek Precaliber 12 Boy's - 2018,199.99,4
Electra Queen of Hearts 3i - 2018,749.99,4
Electra Super Moto 8i - 2018,899.99,4
Electra Tiger Shark 1 (20-inch) - Boys' - 2018,319.99,4
Electra Delivery 3i - 2016/2017/2018,959.99,4
Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,749.99,4
Electra Cruiser 1 - 2016/2017/2018,269.99,4
Electra Heartchya 1 (20-inch) - Girl's - 2018,319.99,4
Electra Straight 8 3i - 2018,909.99,3
"Electra Starship 1 16"" - 2018",279.99,3
Electra Morningstar 3i Ladies' - 2018,749.99,3
Trek CrossRip 1 - 2018,959.99,3
Electra Relic 3i - 2018,849.99,3
Electra Sweet Ride 3i (20-inch) - Girls' - 2018,369.99,3
Electra Moto 3i - 2018,639.99,3
Electra Townie Original 3i EQ - 2017/2018,659.99,3
Electra Water Lily 1 (16-inch) - Girl's - 2018,279.99,3
Trek 820 - 2018,379.99,3
Electra Cruiser Lux 7D - 2018,479.99,3
Trek X-Caliber 7 - 2018,919.99,3
Electra Townie Original 1 Ladies' - 2018,449.99,3
Strider Sport 16 - 2018,249.99,3
Trek Precaliber 20 Girl's - 2018,229.99,3
Surly Pack Rat Frameset - 2018,469.99,3
Trek Kids' Neko - 2018,469.99,3
Electra Townie Original 21D Ladies' - 2018,559.99,3
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,899.99,3
Trek Precaliber 24 (7-Speed) - Boys - 2018,319.99,3
Electra Cruiser Lux 1 - 2016/2018,429.99,3
Trek Domane AL 2 - 2018,749.99,2
Electra Cruiser 7D Tall - 2016/2018,319.99,2
Trek Precaliber 24 21-speed Boy's - 2018,369.99,2
Trek Marlin 7 - 2017/2018,749.99,2
Electra Cruiser Lux 3i Ladies' - 2018,529.99,2
Trek Precaliber 20 Boy's - 2018,229.99,2
Electra Townie Commute 27D - 2018,899.99,2
Electra Cruiser Lux Fat Tire 7D - 2018,639.99,2
Trek X-Caliber 8 - 2018,999.99,2
Trek Domane AL 3 - 2018,919.99,2
Trek Precaliber 20 6-speed Boy's - 2018,289.99,2
Electra Townie Original 21D - 2018,559.99,2
Electra Cruiser Lux 7D Ladies' - 2018,479.99,2
Electra Townie Original 7D EQ - 2018,599.99,2
Electra Cruiser 7D Ladies' - 2016/2018,319.99,2
Trek Marlin 6 - 2018,579.99,2
Electra Townie Original 3i EQ Ladies' - 2018,639.99,2
Trek Precaliber 16 Boy's - 2018,209.99,1
Electra Cruiser 7D - 2016/2017/2018,319.99,1
Trek Superfly 24 - 2017/2018,489.99,1
Electra Cruiser 1 Tall - 2016/2018,269.99,1
Electra Tiger Shark 3i (20-inch) - Boys' - 2018,369.99,1
Trek Superfly 20 - 2018,399.99,1
Electra Soft Serve 1 (16-inch) - Girl's - 2018,279.99,1
Electra Straight 8 1 (16-inch) - Boy's - 2018,279.99,1
Surly ECR Frameset - 2018,749.99,1
Trek Precaliber 20 6-speed Girl's - 2018,289.99,1
"Electra Superbolt 1 20"" - 2018",319.99,1
Trek Precaliber 24 7-speed Girl's - 2018,319.99,1
Electra Straight 8 1 (20-inch) - Boy's - 2018,389.99,1
Trek MT 201 - 2018,249.99,1
Trek Precaliber 24 21-speed Girl's - 2018,369.99,1
"Electra Treasure 3i 20"" - 2018",369.99,1
"Electra Superbolt 3i 20"" - 2018",369.99,1
